RK|Name|University|POS|GP|MIN|PTS|FGM|FGA|FG%|3PM|3PA|3P%|FTM|FTA|FT%|REB|AST|STL|BLK|TO
67|Casper Ware|LBSU|G|34|33.7|17.4|5.6|13.9|40.1|2.8|7.8|35.6|3.5|4.4|79.3|2.4|3.4|1.4|0.1|2.4
68|Julian Boyd|LIU|F|33|27.1|17.4|6.2|11.2|55.7|0.6|1.5|42.0|4.2|5.8|73.7|9.3|0.8|0.5|0.6|2.1
69|Robby Ptacek|CCSU|G|29|37.0|17.3|5.8|14.1|41.2|1.4|4.3|32.5|4.3|4.7|92.0|3.9|2.2|0.9|0.1|2.8
70|Jud Dillard|TNTC|G|33|33.4|17.3|6.0|11.6|51.8|0.2|1.0|21.2|5.1|6.2|82.4|8.5|1.3|1.0|0.2|2.4
71|D.J. Seeley|CSUF|G|31|31.2|17.3|5.5|12.4|43.9|2.1|4.9|43.4|4.3|5.9|73.1|5.5|1.8|1.5|0.2|2.9
72|Ramone Moore|TEM|G|32|36.6|17.3|6.1|14.3|42.6|1.8|4.7|38.3|3.3|4.3|76.3|4.3|3.4|1.1|0.2|2.6
73|Reggie Chamberlain|KC|G|31|33.0|17.3|5.6|12.4|45.3|3.1|6.6|47.1|2.9|3.4|86.5|2.5|2.5|0.9|0.1|1.6
74|Khalif Wyatt|TEM|G|31|33.0|17.1|5.2|10.9|47.9|1.7|4.5|37.9|5.0|5.8|85.6|3.2|3.3|2.2|0.4|2.5
75|Mike James|LAM|G|32|31.1|17.1|6.6|14.6|45.3|1.2|3.8|32.5|2.7|3.4|80.6|3.2|2.0|1.6|0.1|2.1
76|Brandon Riley|SCST|G-F|28|32.7|17.1|6.3|15.6|40.3|1.8|5.6|32.5|2.7|3.5|76.8|3.8|1.7|1.0|0.1|3.3
77|Tony Gallo|COPP|G|30|33.8|17.1|5.0|12.5|39.7|2.7|7.5|35.4|4.5|5.9|75.8|2.7|3.7|1.3|0.1|2.2
78|Amin Stevens|FAMU|F|21|32.4|17.1|7.0|14.0|49.5|0.7|2.4|28.0|2.5|4.1|61.6|10.4|1.4|1.5|1.1|3.1
79|Stan Okoye|VMI|F|32|28.9|17.1|6.3|12.0|51.9|0.5|2.0|26.6|4.1|6.1|67.0|7.2|2.0|1.5|0.7|2.7
80|Chris Gaston|FOR|F|28|33.9|17.1|6.7|15.2|44.1|0.1|0.3|37.5|3.5|5.4|65.1|9.9|1.1|1.3|1.6|2.7
81|Keiton Page|OKST|G|32|35.6|17.1|5.1|12.3|41.5|3.2|8.3|38.6|3.6|4.2|85.2|1.8|2.2|1.5|0.0|1.6
82|Harrison Barnes|UNC|F|38|29.2|17.1|6.0|13.7|44.0|1.3|3.6|35.8|3.7|5.1|72.3|5.2|1.1|1.1|0.3|1.9
